AvgElo	Median	AvgTotalHours	AvgLast2Weeks	?	HasFaceit	Name
1542  	1567  	3773         	31           	0	6/6     	Nondest (Nondest Oy)
1542  	1507  	3457         	10           	1	8/8     	Finnair MAX THRUST (Finnair)
1541  	1478  	3336         	24           	0	8/8     	Caverion End Boss (Caverion)
1519  	1160  	4075         	12           	3	8/8     	Eficode Tunkki (Eficode Oy)
1497  	1423  	2632         	8            	2	8/9     	Pinja (Pinja Digital Oy)
1491  	1630  	2671         	46           	1	5/5     	Kotipizza Nokia (Grebmit OY)
1478  	1227  	2251         	8            	1	4/5     	Trimedian Nuijapäät (Trimedia Oy)
1476  	1371  	2630         	23           	0	6/6     	ALM Partners (ALM Partners Oy)
1466  	1420  	2859         	12           	0	7/7     	Energiavaltti cs (Energia Valtti Oy)
1463  	1499  	1485         	2            	3	6/7     	CC-Esports Tire (Cimcorp OY)
1461  	1379  	3669         	14           	0	9/9     	NRCGroup (NRC Group Finland Oy)
1455  	1364  	4865         	24           	6	8/8     	2NS Gaming (Second Nature Security Oy)
1453  	1279  	1662         	33           	0	6/6     	Loihde Factor (Loihde Factor)
1447  	1250  	2203         	16           	3	6/6     	F9 Distribution (F9 Distribution Oy)
1434  	1352  	3266         	13           	3	8/8     	mcare esports (mcare Oy)
1431  	1493  	2711         	3            	3	6/6     	Triuvare HSO (Triuvare Oy)
1424  	1178  	1440         	5            	0	4/5     	Bonfire Campers (Rovio Entertainment Oyj)
1421  	1636  	3402         	9            	3	8/9     	NODEON (Nodeon Finland Oy)
1416  	1395  	2282         	21           	4	7/7     	Elisa Käytön Huti (Elisa OYJ)
1414  	1205  	2006         	17           	1	6/6     	Visma (Visma Group)
1414  	1408  	1460         	8            	1	8/9     	Siili (Siili Solutions Oyj)
1410  	1117  	1351         	10           	1	6/7     	Neste Glada Hundar (Neste Oyj)
1409  	1472  	2844         	0            	2	9/9     	KONE (KONE Oyj)
1383  	1175  	3187         	9            	1	5/5     	Codemate Esports (Codemate)
1378  	1099  	1759         	6            	0	5/5     	Eltel Toimitusvarmuus (Eltel Networks Oy)
1376  	1259  	2673         	12           	0	8/8     	VR Group 1 (VR-Yhtymä Oyj)
1350  	1234  	2462         	14           	0	6/6     	VEHO (Veho Oy Ab)
1343  	1289  	1816         	6            	1	6/7     	Kuntarahoitus (Kuntarahoitus Oyj)
1332  	1186  	3281         	13           	1	7/7     	HK Instruments eSports (HK Instruments Oy)
1331  	1313  	2067         	14           	1	7/7     	Eltel High Voltage (Eltel Networks  Oy)
1316  	1248  	2912         	16           	0	6/7     	Nokia 5GPEEK (Nokia Solutions and Networks Oy)
1306  	1341  	1808         	11           	1	6/6     	Supermetrics CS Tools (Supermetrics Oy)
1304  	1303  	2155         	10           	2	8/8     	Netlight in Pyjamas (Netlight)
1303  	1269  	3360         	9            	3	5/5     	Efimazing (Efima Oyj)
1293  	1282  	2742         	10           	0	7/8     	Visma in Pyjamas (Visma Solutions Oy)
1277  	1197  	2075         	8            	2	9/9     	Crowd Collective (Crowd Collective Finland Oy)
1276  	1196  	2169         	10           	0	6/6     	Elmo Gaming (ICT Elmo Oy)
1267  	1141  	2125         	11           	0	6/6     	Skillwell (Skillwell Oy)
1263  	1184  	1365         	34           	4	7/9     	Loihde (Loihde Oyj)
1255  	1253  	2274         	15           	1	7/7     	Nexi Stack A (Nets Oy)
1252  	1000  	0            	0            	6	4/7     	Fingrid (Fingrid Oyj)
1245  	990   	2931         	13           	0	6/6     	HUB ESPORT (HUB logistics Finland Oy)
1241  	1262  	2609         	9            	2	5/6     	Avarn eSports (Avarn Security Oy)
1236  	1089  	4892         	28           	0	5/5     	Gigantti 4127 (Gigantti Oy)
1227  	1267  	3689         	33           	0	8/8     	Barona (Barona ICT Poland)
1225  	1215  	2878         	19           	1	7/7     	TVO eSports (Teollisuuden Voima Oyj)
1224  	1000  	2161         	24           	1	4/8     	VideoVisit (VideoVisit)
1220  	1278  	1867         	20           	2	6/6     	Texa (Turvaexpertit Helsinki Oy)
1220  	1158  	1371         	4            	0	6/7     	Solita No Rush (Solita Oy)
1202  	1246  	2207         	8            	2	4/7     	Receptum Rekkedtum (Receptum Palvelu Oy)
1201  	1210.5	2783         	11           	1	6/6     	Digia Naalit (Digia Finland Oy)
1200  	1251  	3843         	2            	4	5/6     	Virnex (Virnex Business Services Oy)
1195  	1034  	1322         	11           	1	5/7     	PV-1 (Puolustusvoimat)
1189  	1079  	3205         	21           	0	7/7     	Nokia 3310 (Nokia Oyj)
1179  	1188  	1402         	11           	2	6/7     	Securitas#2 (Securitas Oy)
1174  	1127  	2081         	31           	0	7/7     	Toro Rosso (Red Bull Finland Oy / Videolle Oy)
1172  	1141  	2802         	31           	0	5/5     	CABB Esports (CABB Oy)
1172  	1154  	1513         	7            	0	5/7     	Elenia (Elenia Verkko Oyj)
1151  	1069  	1881         	15           	1	7/7     	RELEX Supply Pain Management (RELEX Solutions)
1149  	1059  	1701         	8            	2	6/8     	Granlund Esports 2 (Granlund Oy)
1148  	1053  	913          	7            	2	4/6     	Reaktor (Reaktor Innovations Oy)
1147  	1095  	2226         	11           	0	8/9     	Basware Boomers (Basware Oyj)
1145  	1000  	1623         	2            	3	2/6     	Sofia Digital (Sofia Digital Oy)
1143  	1065  	2031         	16           	1	7/9     	Polar Squad (Polar Squad)
1141  	1000  	353          	8            	2	3/9     	Devisioona (Devisioona Oy)
1140  	1167  	2464         	11           	0	9/9     	Team Jamk (Jyväskylän ammattikorkeakoulu)
1130  	1095  	891          	3            	5	8/9     	Printcom (Printcom Center Oy)
1099  	1120  	1388         	2            	2	6/8     	Buutti Call (Buutti)
1096  	1031  	1760         	20           	3	4/6     	Elekta Finland (Kaiku Health)
1091  	1000  	1376         	2            	3	6/7     	Mehiläinen Farmarit (Mehiläinen Oy)
1090  	1058  	799          	8            	3	4/5     	Solteq 2 (Solteq Oyj)
1089  	978   	1472         	14           	1	6/6     	ALM Partners Riskiryhmä (ALM Partners Oy)
1081  	1000  	1155         	8            	3	6/7     	NBDG (Alarauta Oy)
1067  	1094  	1459         	3            	5	6/9     	Talentree eSports (Talentree Oy)
1050  	1000  	1995         	9            	3	4/7     	Prove (Prove Expertise Oy)
1049  	1000  	955          	8            	2	9/9     	CC-Esports Crate (Cimcorp Oy)
1047  	1000  	1999         	8            	5	3/9     	Triplan eSports (Triplan Oy)
1047  	1000  	920          	2            	4	6/8     	Elomatic II (Elomatic Oy)
1044  	1000  	843          	7            	2	5/6     	Fiare Esports (Fiare Oy)
1038  	1000  	980          	11           	1	3/6     	Supermetrics Blebs (Supermetrics Oy)
1035  	1012  	1284         	8            	2	7/7     	ESYS (ESYS)
1032  	1000  	533          	4            	4	7/8     	Netlight Managerin Spesiaali (Netlight Consulting Oy)
1021  	1000  	936          	2            	1	5/6     	CGI-TS (CGI Suomi Oy)
1015  	1000  	1552         	6            	3	7/8     	RELEX Integrated Supply Pain (RELEX Solutions)
1010  	1000  	364          	11           	0	1/5     	Supermetrics 404 (Supermetrics Oy)
1009  	1003  	1318         	6            	2	7/7     	Etteplan BLUE (Etteplan Oyj)
1009  	995   	569          	2            	2	7/7     	Eficode Zero (Eficode Oy)
1008  	1000  	360          	2            	3	7/8     	ALM Partners Luottotappio (ALM Partners Oy)
1004  	1000  	233          	9            	4	3/7     	PV-2 (Puolustusvoimat)
1000  	1000  	770          	7            	2	2/6     	Reaktor Brown Nova (Reaktor Innovations Oy)
1000  	1000  	758          	4            	3	2/8     	RELEX  Supply Chain: Global Offensive (RELEX Solutions Oy)
1000  	1000  	237          	5            	0	2/5     	Nexi Stack B (Nets Oy)
1000  	1000  	83           	4            	3	0/7     	Negevlight Consulting (Netlight Consulting Oy)
999   	1000  	1034         	15           	2	5/6     	CMDamagers (Codemate Oy)
993   	1000  	723          	3            	2	3/6     	VCS eSports (Vantaa Catering Services Oy)
989   	914   	1559         	10           	0	8/8     	CABB Esports 2  (CABB Oy)
977   	948   	1880         	3            	4	5/6     	Vincit KUHAT (Vincit Oyj)
953   	1000  	875          	4            	2	4/6     	Colossal Order eSports (Colossal Order)
936   	957   	1450         	8            	2	7/7     	Finnair Idle thrust (Finnair)
933   	948   	1858         	10           	1	8/8     	Caverion/2 (Caverion)
905   	870   	2041         	25           	2	8/9     	Kela Platinum (Kansaneläkelaitos)
807   	948   	2698         	3            	3	5/5     	BitwiseCS (Bitwise Oy)
